Timestamp ,BUC1 Power State,BUC1 Power Level,BUC1 10Mhz ,BUC2 Power State,BUC2 Power Level,BUC2 10Mhz,Antenna AGC,Antenna MuteState,Antenna Baseball
1616794387,1,1585,0,1,1669,0,1025,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794418,1,1580,0,1,1664,0,1018,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794448,1,1577,0,1,1665,0,1002,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794478,1,1580,0,1,1664,0,990,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794509,1,1585,0,1,1669,0,975,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794539,1,1580,0,1,1665,0,957,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794606,,,,,,,,,
1616794672,,,,,,,,,
1616794738,,,,,,,,,
1616794804,,,,,,,,,
1616794870,,,,,,,,,
1616794936,,,,,,,,,
1616795002,,,,,,,,,
1616795068,,,,,,,,,
1616795135,,,,,,,,,
1616795201,,,,,,,,,
1616795267,,,,,,,,,
1616795333,,,,,,,,,
1616795399,,,,,,,,,
1616795465,,,,,,,,,
1616795531,,,,,,,,,
1616795597,,,,,,,,,
1616795663,,,,,,,,,
1616795730,,,,,,,,,
1616795796,,,,,,,,,
1616795862,,,,,,,,,
1616795928,,,,,,,,,
1616795994,,,,,,,,,
1616796060,,,,,,,,,
1616796126,,,,,,,,,
1616796192,,,,,,,,,
1616796259,,,,,,,,,
1616796325,,,,,,,,,
1616796391,,,,,,,,,
1616796457,,,,,,,,,
1616796523,,,,,,,,,
1616796589,,,,,,,,,
1616796655,,,,,,,,,
1616796721,,,,,,,,,
1616796787,,,,,,,,,
1616796854,,,,,,,,,
1616796920,,,,,,,,,
1616796986,,,,,,,,,
1616797052,,,,,,,,,
1616797118,,,,,,,,,
1616797184,,,,,,,,,
1616797250,,,,,,,,,
1616797316,,,,,,,,,
1616797383,,,,,,,,,
1616797449,,,,,,,,,
1616797515,,,,,,,,,
1616797581,,,,,,,,,
1616797647,,,,,,,,,
1616797713,,,,,,,,,
1616797779,,,,,,,,,
1616797845,,,,,,,,,
1616797912,,,,,,,,,
1616797978,,,,,,,,,
1616798044,,,,,,,,,
1616798110,,,,,,,,,
1616798176,,,,,,,,,
1616798242,,,,,,,,,
1616798308,,,,,,,,,
1616798374,,,,,,,,,
1616798440,,,,,,,,,
1616798507,,,,,,,,,
1616798573,,,,,,,,,
1616798639,,,,,,,,,
1616798705,,,,,,,,,
1616798771,,,,,,,,,
1616798837,,,,,,,,,
1616798903,,,,,,,,,
1616798969,,,,,,,,,
1616799036,,,,,,,,,
1616799102,,,,,,,,,
1616799168,,,,,,,,,
1616799234,,,,,,,,,
1616799300,,,,,,,,,
1616799366,,,,,,,,,
1616799432,,,,,,,,,
1616799498,,,,,,,,,
1616799564,,,,,,,,,
1616799631,,,,,,,,,
